date	iso_3166-1	iso_3166-2	voivodeship	cases	deaths
2020-03-04	DS	02	dolnośląskie	0	0
2020-03-05	DS	02	dolnośląskie	0	0
2020-03-06	DS	02	dolnośląskie	1	0
2020-03-07	DS	02	dolnośląskie	0	0
2020-03-08	DS	02	dolnośląskie	1	0
2020-03-09	DS	02	dolnośląskie	1	0
2020-03-10	DS	02	dolnośląskie	1	0
2020-03-11	DS	02	dolnośląskie	0	0
2020-03-12	DS	02	dolnośląskie	3	0
2020-03-13	DS	02	dolnośląskie	1	1
2020-03-14	DS	02	dolnośląskie	5	0
2020-03-15	DS	02	dolnośląskie	2	0
2020-03-16	DS	02	dolnośląskie	12	0
2020-03-17	DS	02	dolnośląskie	11	1
2020-03-18	DS	02	dolnośląskie	2	0
2020-03-19	DS	02	dolnośląskie	13	0
2020-03-20	DS	02	dolnośląskie	5	0
2020-03-21	DS	02	dolnośląskie	8	0
2020-03-22	DS	02	dolnośląskie	13	0
2020-03-23	DS	02	dolnośląskie	22	0
2020-03-24	DS	02	dolnośląskie	33	0
2020-03-25	DS	02	dolnośląskie	16	2
2020-03-26	DS	02	dolnośląskie	15	0
2020-03-27	DS	02	dolnośląskie	28	0
2020-03-28	DS	02	dolnośląskie	21	0
2020-03-29	DS	02	dolnośląskie	20	0
2020-03-30	DS	02	dolnośląskie	24	0
2020-03-31	DS	02	dolnośląskie	16	0
2020-04-01	DS	02	dolnośląskie	52	0
2020-04-02	DS	02	dolnośląskie	12	2
2020-04-03	DS	02	dolnośląskie	62	0
2020-04-04	DS	02	dolnośląskie	7	0
2020-04-05	DS	02	dolnośląskie	61	4
2020-04-06	DS	02	dolnośląskie	20	3
2020-04-07	DS	02	dolnośląskie	39	1
2020-04-08	DS	02	dolnośląskie	12	1
2020-04-09	DS	02	dolnośląskie	29	3
2020-04-10	DS	02	dolnośląskie	69	2
2020-04-11	DS	02	dolnośląskie	23	2
2020-04-12	DS	02	dolnośląskie	37	1
2020-04-13	DS	02	dolnośląskie	12	1
2020-04-14	DS	02	dolnośląskie	14	1
2020-04-15	DS	02	dolnośląskie	41	0
2020-04-16	DS	02	dolnośląskie	55	3
2020-04-17	DS	02	dolnośląskie	74	2
2020-04-18	DS	02	dolnośląskie	56	0
2020-04-19	DS	02	dolnośląskie	95	0
2020-04-20	DS	02	dolnośląskie	33	3
2020-04-21	DS	02	dolnośląskie	41	0
2020-04-22	DS	02	dolnośląskie	26	3
2020-04-23	DS	02	dolnośląskie	68	0
2020-04-24	DS	02	dolnośląskie	23	1
2020-04-25	DS	02	dolnośląskie	43	3
2020-04-26	DS	02	dolnośląskie	63	1
2020-04-27	DS	02	dolnośląskie	71	0
2020-04-28	DS	02	dolnośląskie	49	3
2020-04-29	DS	02	dolnośląskie	59	3
2020-04-30	DS	02	dolnośląskie	43	1
2020-05-01	DS	02	dolnośląskie	17	0
2020-05-02	DS	02	dolnośląskie	40	1
2020-05-03	DS	02	dolnośląskie	25	3
2020-05-04	DS	02	dolnośląskie	78	1
2020-05-05	DS	02	dolnośląskie	46	4
2020-05-06	DS	02	dolnośląskie	20	0
2020-05-07	DS	02	dolnośląskie	36	2
2020-05-08	DS	02	dolnośląskie	45	7
2020-05-09	DS	02	dolnośląskie	33	1
2020-05-10	DS	02	dolnośląskie	99	0
2020-05-11	DS	02	dolnośląskie	22	5
2020-05-12	DS	02	dolnośląskie	32	6
2020-05-13	DS	02	dolnośląskie	44	1
2020-05-14	DS	02	dolnośląskie	25	3
2020-05-15	DS	02	dolnośląskie	16	7
2020-05-16	DS	02	dolnośląskie	19	0
2020-05-17	DS	02	dolnośląskie	6	0
2020-05-18	DS	02	dolnośląskie	60	2
2020-05-19	DS	02	dolnośląskie	31	2
2020-05-20	DS	02	dolnośląskie	19	1
2020-05-21	DS	02	dolnośląskie	19	0
2020-05-22	DS	02	dolnośląskie	71	2
2020-05-23	DS	02	dolnośląskie	33	0
2020-05-24	DS	02	dolnośląskie	19	0
2020-05-25	DS	02	dolnośląskie	37	2
2020-05-26	DS	02	dolnośląskie	16	3
2020-05-27	DS	02	dolnośląskie	41	0
2020-05-28	DS	02	dolnośląskie	18	1
2020-05-29	DS	02	dolnośląskie	26	0
2020-05-30	DS	02	dolnośląskie	25	2
2020-05-31	DS	02	dolnośląskie	13	0
2020-06-01	DS	02	dolnośląskie	36	1
2020-06-02	DS	02	dolnośląskie	9	0
2020-06-03	DS	02	dolnośląskie	10	7
2020-06-04	DS	02	dolnośląskie	11	0
2020-06-05	DS	02	dolnośląskie	20	5
2020-06-06	DS	02	dolnośląskie	20	0
2020-03-04	KP	04	kujawsko-pomorskie	0	0
2020-03-05	KP	04	kujawsko-pomorskie	0	0
2020-03-06	KP	04	kujawsko-pomorskie	0	0
2020-03-07	KP	04	kujawsko-pomorskie	0	0
2020-03-08	KP	04	kujawsko-pomorskie	0	0
2020-03-09	KP	04	kujawsko-pomorskie	0	0
2020-03-10	KP	04	kujawsko-pomorskie	0	0
2020-03-11	KP	04	kujawsko-pomorskie	0	0
2020-03-12	KP	04	kujawsko-pomorskie	0	0
2020-03-13	KP	04	kujawsko-pomorskie	0	0
2020-03-14	KP	04	kujawsko-pomorskie	0	0
2020-03-15	KP	04	kujawsko-pomorskie	0	0
2020-03-16	KP	04	kujawsko-pomorskie	0	0
2020-03-17	KP	04	kujawsko-pomorskie	8	0
2020-03-18	KP	04	kujawsko-pomorskie	0	0
2020-03-19	KP	04	kujawsko-pomorskie	3	0
2020-03-20	KP	04	kujawsko-pomorskie	3	0
2020-03-21	KP	04	kujawsko-pomorskie	4	0
2020-03-22	KP	04	kujawsko-pomorskie	0	0
2020-03-23	KP	04	kujawsko-pomorskie	3	0
2020-03-24	KP	04	kujawsko-pomorskie	1	0
2020-03-25	KP	04	kujawsko-pomorskie	5	0
2020-03-26	KP	04	kujawsko-pomorskie	4	0
2020-03-27	KP	04	kujawsko-pomorskie	2	0
2020-03-28	KP	04	kujawsko-pomorskie	4	0
2020-03-29	KP	04	kujawsko-pomorskie	10	0
2020-03-30	KP	04	kujawsko-pomorskie	25	0
2020-03-31	KP	04	kujawsko-pomorskie	4	0
2020-04-01	KP	04	kujawsko-pomorskie	8	0
2020-04-02	KP	04	kujawsko-pomorskie	73	0
2020-04-03	KP	04	kujawsko-pomorskie	42	1
2020-04-04	KP	04	kujawsko-pomorskie	25	0
2020-04-05	KP	04	kujawsko-pomorskie	17	0
2020-04-06	KP	04	kujawsko-pomorskie	4	0
2020-04-07	KP	04	kujawsko-pomorskie	19	0
2020-04-08	KP	04	kujawsko-pomorskie	13	4
2020-04-09	KP	04	kujawsko-pomorskie	3	1
2020-04-10	KP	04	kujawsko-pomorskie	10	1
2020-04-11	KP	04	kujawsko-pomorskie	23	0
2020-04-12	KP	04	kujawsko-pomorskie	23	0
2020-04-13	KP	04	kujawsko-pomorskie	9	0
2020-04-14	KP	04	kujawsko-pomorskie	7	2
2020-04-15	KP	04	kujawsko-pomorskie	7	3
2020-04-16	KP	04	kujawsko-pomorskie	8	1
2020-04-17	KP	04	kujawsko-pomorskie	20	0
2020-04-18	KP	04	kujawsko-pomorskie	11	3
2020-04-19	KP	04	kujawsko-pomorskie	8	0
2020-04-20	KP	04	kujawsko-pomorskie	15	1
2020-04-21	KP	04	kujawsko-pomorskie	17	0
2020-04-22	KP	04	kujawsko-pomorskie	14	3
2020-04-23	KP	04	kujawsko-pomorskie	8	0
2020-04-24	KP	04	kujawsko-pomorskie	11	4
2020-04-25	KP	04	kujawsko-pomorskie	3	2
2020-04-26	KP	04	kujawsko-pomorskie	4	0
2020-04-27	KP	04	kujawsko-pomorskie	5	0
2020-04-28	KP	04	kujawsko-pomorskie	35	1
2020-04-29	KP	04	kujawsko-pomorskie	19	1
2020-04-30	KP	04	kujawsko-pomorskie	7	0
2020-05-01	KP	04	kujawsko-pomorskie	6	0
2020-05-02	KP	04	kujawsko-pomorskie	4	0
2020-05-03	KP	04	kujawsko-pomorskie	3	1
2020-05-04	KP	04	kujawsko-pomorskie	0	0
2020-05-05	KP	04	kujawsko-pomorskie	4	1
2020-05-06	KP	04	kujawsko-pomorskie	0	0
2020-05-07	KP	04	kujawsko-pomorskie	5	1
2020-05-08	KP	04	kujawsko-pomorskie	5	1
2020-05-09	KP	04	kujawsko-pomorskie	1	0
2020-05-10	KP	04	kujawsko-pomorskie	2	0
2020-05-11	KP	04	kujawsko-pomorskie	3	0
2020-05-12	KP	04	kujawsko-pomorskie	0	2
2020-05-13	KP	04	kujawsko-pomorskie	0	5
2020-05-14	KP	04	kujawsko-pomorskie	1	1
2020-05-15	KP	04	kujawsko-pomorskie	3	2
2020-05-16	KP	04	kujawsko-pomorskie	1	0
2020-05-17	KP	04	kujawsko-pomorskie	0	1
2020-05-18	KP	04	kujawsko-pomorskie	0	1
2020-05-19	KP	04	kujawsko-pomorskie	1	0
2020-05-20	KP	04	kujawsko-pomorskie	1	0
2020-05-21	KP	04	kujawsko-pomorskie	3	0
2020-05-22	KP	04	kujawsko-pomorskie	3	1
2020-05-23	KP	04	kujawsko-pomorskie	2	0
2020-05-24	KP	04	kujawsko-pomorskie	1	0
2020-05-25	KP	04	kujawsko-pomorskie	1	1
2020-05-26	KP	04	kujawsko-pomorskie	0	0
2020-05-27	KP	04	kujawsko-pomorskie	0	0
